"original address",latitude,longitude
"STREETADDRESS,CITY,STATE",,
"425 S WARMAN AVE,INDIANAPOLIS,INDIANA",39.760365,-86.206111
"3453 E 26TH ST,INDIANAPOLIS,INDIANA",39.804164,-86.107659
"406 WALLACE AVE,INDIANAPOLIS,INDIANA",39.773586,-86.089186
"234 N OAKLAND AVE,INDIANAPOLIS,INDIANA",39.771,-86.113555
"550 N EXETER AVE,INDIANAPOLIS,INDIANA",39.775192,-86.219784
"2802 N CHESTER AVE,INDIANAPOLIS,INDIANA",39.806968,-86.099576
"404 E MINNESOTA ST,INDIANAPOLIS,INDIANA",39.744792,-86.150384
"1835 HOLLOWAY AVE,INDIANAPOLIS,INDIANA",39.791935,-86.127806
"2901 N ROUTIERS AVE,INDIANAPOLIS,INDIANA",39.809817,-86.013766
"1739 DAWSON ST,INDIANAPOLIS,INDIANA",39.743919,-86.128008
"9310 BURK RD,INDIANAPOLIS,INDIANA",39.770442,-86.005403
"324 S SPENCER AVE,INDIANAPOLIS,INDIANA",39.764037,-86.080484
"1045 VILLA AVE,INDIANAPOLIS,INDIANA",39.753135,-86.12673
"976 W 29TH ST,INDIANAPOLIS,INDIANA",39.808473,-86.177944
"2450 INDIANAPOLIS AVE,INDIANAPOLIS,INDIANA",39.802476,-86.168275
"2216 N COLLEGE AVE,INDIANAPOLIS,INDIANA",39.798167,-86.145219
"1241 N LIVINGSTON AVE,INDIANAPOLIS,INDIANA",39.785264,-86.223399
"1267 W 26TH ST,INDIANAPOLIS,INDIANA",39.803386,-86.184765
"3541 APPLE ST,INDIANAPOLIS,INDIANA",39.74964,-86.105163
"1210 N BELMONT AVE,INDIANAPOLIS,INDIANA",39.784596,-86.197183
"1410 MARTIN ST,INDIANAPOLIS,INDIANA",39.719989,-86.132832
"549 W 26TH ST,INDIANAPOLIS,INDIANA",39.804026,-86.169926
"3707 CAROLINE AVE,INDIANAPOLIS,INDIANA",39.823412,-86.125458
