OBJECTID,PARCEL_TAG,PARCEL_I,PARCEL_C,STREETADDRESS,CITY,ID,UTILITY_ST,NaN,NaN
2061,1286099,9020619,9020619,425 S WARMAN AVE,INDIANAPOLIS,55643,1,-86.76535389075062,35.24199775413121
2062,1017164,1065324,1065324,3453 E 26TH ST,INDIANAPOLIS,109143,1,-86.76535389075062,35.24199775413121
2063,1043785,1050926,1050926,406 WALLACE AVE,INDIANAPOLIS,134305,1,-86.76535389075062,35.24199775413121
2064,1046534,1015741,1015741,234 N OAKLAND AVE,INDIANAPOLIS,16540,0,-86.76535389075062,35.24199775413121
2065,1278511,9018313,9018313,550 N EXETER AVE,INDIANAPOLIS,207539,0,-86.76535389075062,35.24199775413121
2066,1014363,1091148,1091148,2802 N CHESTER AVE,INDIANAPOLIS,9058,1,-86.76535723901782,35.241997723733036
2067,1067250,1020751,1020751,404 E MINNESOTA ST,INDIANAPOLIS,37978,1,-86.76535723901782,35.241997723733036
2068,1027551,1041885,1041885,1835 HOLLOWAY AVE,INDIANAPOLIS,123811,0,-86.76535389075062,35.24199775413121
2069,1181242,7026844,7026844,2901 N ROUTIERS AVE,INDIANAPOLIS,9173,0,-86.76535389075062,35.24199775413121
2070,1068200,1056524,1056524,1739 DAWSON ST,INDIANAPOLIS,333197,0,-86.76535389075062,35.24199775413121
2071,1200535,7017431,7017431,9310 BURK RD,INDIANAPOLIS,304783,0,-86.76535389075062,35.24199775413121
2072,1321645,7011594,7011594,324 S SPENCER AVE,INDIANAPOLIS,19302,0,-86.76535389075062,35.24199775413121
2073,1060112,1076527,1076527,1045 VILLA AVE,INDIANAPOLIS,230151,0,-86.76535389075062,35.24199775413121
2074,1012532,1012351,1012351,976 W 29TH ST,INDIANAPOLIS,80441,1,-86.76535389075062,35.24199775413121
2075,1018665,1059318,1059318,2450 INDIANAPOLIS AVE,INDIANAPOLIS,44150,1,-86.76535389075062,35.24199775413121
2076,1022417,1011883,1011883,2216 N COLLEGE AVE,INDIANAPOLIS,174032,1,-86.76535723901782,35.241997723733036
2077,1272049,9021389,9021389,1241 N LIVINGSTON AVE,INDIANAPOLIS,17002,1,-86.76535723901782,35.241997723733036
2078,1017658,1033395,1033395,1267 W 26TH ST,INDIANAPOLIS,194237,0,-86.76535389075062,35.24199775413121
2079,1063380,1085938,1085938,3541 APPLE ST,INDIANAPOLIS,240322,0,-86.76535389075062,35.24199775413121
2080,1319572,9019469,9019469,1210 N BELMONT AVE,INDIANAPOLIS,191204,1,-86.76535389075062,35.24199775413121
2081,1127600,5000564,5000564,1410 MARTIN ST,INDIANAPOLIS,141362,1,-86.76535723901782,35.241997723733036
2082,1016991,1059798,1059798,549 W 26TH ST,INDIANAPOLIS,479,0,-86.76535389075062,35.24199775413121
2083,1317451,1021513,1021513,3707 CAROLINE AVE,INDIANAPOLIS,158700,0,-86.76535389075062,35.24199775413121
2084,1044396,1007580,1007580,403 N DEARBORN ST,INDIANAPOLIS,308536,1,-86.76535389075062,35.24199775413121
2085,1286777,9019983,9019983,521 HARRIS AVE,INDIANAPOLIS,301183,0,-86.76535389075062,35.24199775413121
2086,1311789,4015647,4015647,9944 CATALINA DR,INDIANAPOLIS,298630,0,-86.76535389075062,35.24199775413121
2087,1028056,1019898,1019898,2422 BROOKSIDE AVE,INDIANAPOLIS,126100,0,-86.76535389075062,35.24199775413121
2088,1014206,1024203,1024203,554 W 28TH ST,INDIANAPOLIS,134030,0,-86.76535389075062,35.24199775413121
2089,1126171,4010584,4010584,4038 N SHERIDAN AVE,INDIANAPOLIS,93849,1,-86.76535389075062,35.24199775413121
2090,1246639,8011064,8011064,147 BUCKINGHAM DR,INDIANAPOLIS,264715,0,-86.76535389075062,35.24199775413121
2091,1025387,1014035,1014035,2016 BELLEFONTAINE ST,INDIANAPOLIS,15362,1,-86.76535389075062,35.24199775413121
2092,1321929,7008719,7008719,602 S GRAND AVE,INDIANAPOLIS,91039,0,-86.76535389075062,35.24199775413121
2093,1266174,9000153,9000153,2039 N LUETT AVE,INDIANAPOLIS,229497,0,-86.76535389075062,35.24199775413121
2094,1064444,1039729,1039729,1737 E TERRACE AVE,INDIANAPOLIS,152995,0,-86.76535389075062,35.24199775413121
2095,1056092,1036749,1036749,4122 FLETCHER AVE,INDIANAPOLIS,145447,0,-86.76535389075062,35.24199775413121
2096,1064516,1020320,1020320,1421 UNION ST,INDIANAPOLIS,249143,0,-86.76535389075062,35.24199775413121
2097,1290990,9020155,9020155,1026 S BELLEVIEW PL,INDIANAPOLIS,18341,0,-86.76535389075062,35.24199775413121
2098,1377983,1102199,1102199,1049 S STATE AVE,INDIANAPOLIS,161982,1,-86.76535389075062,35.24199775413121
2099,1000440,1033408,1033408,3635 BIRCHWOOD AVE,INDIANAPOLIS,192257,1,-86.76535723901782,35.241997723733036
2100,1322792,9024025,9024025,2202 MARTHA ST,INDIANAPOLIS,114563,1,-86.76535389075062,35.24199775413121
